url,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9,HF10,label
https://courielvideotron.weebly.com/,0,1,0,1,1,1,0,0.4,0,0,1
https://fefkekgeyf.weebly.com/,0,1,0,1,1,1,0,0.2857142857142857,0,0,1
https://flamvido11.weebly.com/,0,0,0,1,1,0,0,0.7142857142857143,0,0,1
https://izusep.weebly.com/,0,0,0,1,1,0,0,0.6,0,0,1
http://fat-van-echoing.on-fleek.app/jiwfggtbsnd1.html,1,1,0,0,0,0,1,0,0,0,1
http://harsh-helicopter-early.on-fleek.app/umewuhuwharna10.html,1,1,0,0,0,0,1,0,0,0,1
http://large-tiger-thundering.on-fleek.app/sgbpcyfwptnhky10.html,1,1,0,0,0,0,1,0,0,0,1
http://limited-zoo-crooked.on-fleek.app/xnohzcyqmrap1.html,1,1,0,0,0,0,1,0,0,0,1
http://low-kilobyte-crooked.on-fleek.app/sxiyruidtamv1.html,1,1,0,0,0,0,1,0,0,0,1
http://mammoth-umbrella-big.on-fleek.app/scqwcwbbkj7.html,1,1,0,0,0,0,1,0,0,0,1
http://short-terabyte-flat.on-fleek.app/obycaifotgnfxgg5.html,1,1,0,0,0,0,1,0,0,0,1
http://wailing-hamburger-abundant.on-fleek.app/qwfkrupexhsk13.html,1,1,0,0,0,0,1,0,0,0,1
https://pub-60cbaec2a9c9485da795aed2e788ffb9.r2.dev/index.html,0,1,0,0,1,1,1,1.0,0,0,1
https://businesspages-centerpolicy.pages.dev/,1,1,0,0,0,0,0,0,0,0,1
https://helpcenter-businesscommunity.pages.dev/,1,1,0,0,0,0,0,0,0,0,1
https://metabussiness-support-centers.pages.dev/,1,1,0,0,0,0,0,0,0,0,1
https://pagecommunity-helppolicy.pages.dev/,1,1,0,0,0,0,0,0,0,0,1
https://supports-metabussiness-center.pages.dev/,1,1,0,0,0,0,0,0,0,0,1
https://supports-metabussiness-centers.pages.dev/,1,1,0,0,0,0,0,0,0,0,1
https://bit.ly/3DpANeG,0,1,1,0,0,0,1,0.25,0,0,1
https://bit.ly/3PdntN2,0,1,1,0,0,0,1,0.25,0,0,1
https://bit.ly/3ZBGSxh,0,1,1,0,0,0,1,0.3333333333333333,0,0,1
https://bit.ly/3ZrzaVi,0,1,1,0,0,0,1,0.3333333333333333,0,0,1
https://bit.ly/41JuKf8,0,1,1,0,0,0,1,0.3333333333333333,0,0,1
https://bit.ly/4fMQdaF,0,1,1,0,0,0,1,0.25,0,0,1
https://bit.ly/4fyx4sy,0,1,1,0,0,0,1,0.25,0,0,1
